"sound.files","selec","start","end","bottom.freq","top.freq","orig.sound.file"
"ETC21_duplicated_master.wav",90,20.3480045351474,20.6205442176871,6.1121,10.2126,"Amazilia-yucatanensis-130830.wav_3-dup"
"ETC21_duplicated_master.wav",91,20.7205442176871,20.8339455782313,3.7023,8.6284,"Oxypogon-lindenii-227097.wav_4-dup"
"ETC21_duplicated_master.wav",92,20.9339455782313,21.002380952381,1.26,21.105,"Lepidopyga-lilliae-ML167379.wav_30-dup"
"ETC21_duplicated_master.wav",93,21.102380952381,21.2101814058957,1.3781,10.4125,"Metallura-theresiae-46827.wav_10-dup"
"ETC21_duplicated_master.wav",94,21.3101814058957,21.3333333333333,3.3577,12.8808,"Myrtis-fanny-260481.wav_3-dup"
"ETC21_duplicated_master.wav",95,21.4333333333333,21.4515192743764,1.9304,11.186,"Campylopterus-villaviscensio-111082.wav_34"
"ETC21_duplicated_master.wav",96,21.5515192743764,21.5944671201814,3.0666,7.7976,"Aglaeactis-cupripennis-ML17471.wav_12-dup"
"ETC21_duplicated_master.wav",97,21.6944671201814,21.7702947845805,1.303,5.7989,"Oreotrochilus-adela-146833.wav_26-dup"
"ETC21_duplicated_master.wav",98,21.8702947845805,21.9736507936508,4.4294,8.2712,"Phaethornis-aethopygus-149950.wav_21"
"ETC21_duplicated_master.wav",99,22.0736507936508,22.0942630385487,1.2388,6.6274,"Sappho-sparganurus-263264.wav_43"
"ETC21_duplicated_master.wav",100,22.1942630385488,22.2834013605442,3.8098,7.0993,"Phaethornis-squalidus-85295.wav_45"
"ETC21_duplicated_master.wav",101,22.3834013605442,22.5090249433107,4.3793,9.8341,"Metallura-eupogon-62896.wav_4"
"ETC21_duplicated_master.wav",102,22.6090249433107,22.6539682539683,6.3468,8.2008,"Phaethornis-bourcieri-47431.wav_19"
"ETC21_duplicated_master.wav",103,22.7539682539683,22.7848979591837,2.2238,9.6186,"Doryfera-johannae-98229.wav_2"
"ETC21_duplicated_master.wav",104,22.8848979591837,22.9149206349206,2.7266,5.6069,"Oreotrochilus-adela-146833.wav_29"
"ETC21_duplicated_master.wav",105,23.0149206349206,23.0658049886621,2.1187,10.5491,"Oreotrochilus-estella-263265.wav_32-dup"
"ETC21_duplicated_master.wav",106,23.1658049886621,23.1850566893424,1.9304,11.5943,"Campylopterus-villaviscensio-111082.wav_49-dup"
"ETC21_duplicated_master.wav",107,23.2850566893424,23.3321315192744,1.374,13.8474,"Heliodoxa-schreibersii-ML84904851.wav_72"
"ETC21_duplicated_master.wav",108,23.4321315192744,23.474126984127,0,22.05,"Ramphodon-naevius-85396.wav_29-dup"
"ETC21_duplicated_master.wav",109,23.574126984127,23.6172335600907,3.0217,9.4733,"Oreotrochilus-estella-263265.wav_15-dup"
"ETC21_duplicated_master.wav",110,23.7172335600907,23.7722222222222,5.2943,8.8867,"Threnetes-leucurus-77603.wav_2-dup"
"ETC21_duplicated_master.wav",111,23.8722222222222,24.0053514739229,2.5354,13.1378,"Metallura-eupogon-62896.wav_10"
"ETC21_duplicated_master.wav",112,24.1053514739229,24.1536507936508,2.205,9.065,"Oreotrochilus-estella-263265.wav_18"
"ETC21_duplicated_master.wav",113,24.2536507936508,24.3220861678005,1.26,21.105,"Lepidopyga-lilliae-ML167379.wav_30"
"ETC21_duplicated_master.wav",114,24.4220861678005,24.5732199546485,0.5841,13.2248,"Metallura-williami-42575.wav_10-dup"
"ETC21_duplicated_master.wav",115,24.6732199546485,24.6926530612245,0.8889,12.0889,"Oreotrochilus-melanogaster-41148.wav_62-dup"
"ETC21_duplicated_master.wav",116,24.7926530612245,24.8134920634921,1.89,21.105,"Lepidopyga-lilliae-ML167379.wav_37-dup"
"ETC21_duplicated_master.wav",117,24.9134920634921,24.9718367346939,3.291,14.9743,"Glaucis-hirsutus-16811.wav_10-dup"
"ETC21_duplicated_master.wav",118,25.0718367346939,25.0871201814059,1.1905,6.8742,"Oreotrochilus-adela-146833.wav_41-dup"
"ETC21_duplicated_master.wav",119,25.1871201814059,25.2190249433107,2.1233,16.17,"Oreotrochilus-estella-263265.wav_81"
"ETC21_duplicated_master.wav",120,25.3190249433107,25.3985714285714,1.8818,5.7605,"Oreotrochilus-adela-146833.wav_62-dup"
"ETC21_duplicated_master.wav",121,25.4985714285714,25.5653968253968,1.26,20.79,"Lepidopyga-lilliae-ML167379.wav_29"
"ETC21_duplicated_master.wav",122,25.6653968253968,25.7241950113379,2.2027,12.2749,"Campylopterus-villaviscensio-111082.wav_54"
"ETC21_duplicated_master.wav",123,25.8241950113379,25.8750793650794,2.1187,10.5491,"Oreotrochilus-estella-263265.wav_32"
"ETC21_duplicated_master.wav",124,25.9750793650794,26.0438095238095,3.8078,12.3552,"Threnetes-leucurus-77603.wav_11"
"ETC21_duplicated_master.wav",125,26.1438095238095,26.2417233560091,4.6102,8.4068,"Phaethornis-aethopygus-149950.wav_32-dup"
"ETC21_duplicated_master.wav",126,26.3417233560091,26.3902721088435,2.3111,7.0222,"Oreotrochilus-melanogaster-41148.wav_4-dup"
"ETC21_duplicated_master.wav",127,26.4902721088435,26.8259863945578,3.3641,10.1586,"Coeligena-wilsoni-264477.wav_6-dup"
"ETC21_duplicated_master.wav",128,26.9259863945578,26.9441723356009,1.89,20.475,"Lepidopyga-lilliae-ML167379.wav_38-dup"
"ETC21_duplicated_master.wav",129,27.0441723356009,27.0734920634921,3.6015,9.996,"Oreotrochilus-estella-263265.wav_69"
"ETC21_duplicated_master.wav",130,27.1734920634921,27.2974829931973,0,22.05,"Ramphodon-naevius-85396.wav_26"
"ETC21_duplicated_master.wav",131,27.3974829931973,27.4350113378685,2.0738,5.3764,"Oreotrochilus-adela-146833.wav_71-dup"
"ETC21_duplicated_master.wav",132,27.5350113378685,27.5626077097506,1.8783,6.2067,"Oreotrochilus-estella-263265.wav_25-dup"
"ETC21_duplicated_master.wav",133,27.6626077097506,27.7299546485261,2.3388,12.0027,"Campylopterus-villaviscensio-111082.wav_2"
"ETC21_duplicated_master.wav",134,27.8299546485261,27.8502721088435,1.89,22.05,"Lepidopyga-lilliae-ML167379.wav_40"
"ETC21_duplicated_master.wav",135,27.9502721088435,27.9748526077098,1.575,21.42,"Lepidopyga-lilliae-ML167379.wav_32"
"ETC21_duplicated_master.wav",136,28.0748526077098,28.0995691609977,0.3556,12.8,"Oreotrochilus-melanogaster-41148.wav_63-dup"
"ETC21_duplicated_master.wav",137,28.1995691609977,28.2271882086168,4.0996,7.8577,"Anthracothorax-veraguensis-124528.wav_2"
"ETC21_duplicated_master.wav",138,28.3271882086168,28.4145804988662,1.8736,9.9033,"Oreotrochilus-melanogaster-41148.wav_13"
"ETC21_duplicated_master.wav",139,28.5145804988662,28.5809750566893,1.9829,8.6455,"Oreotrochilus-estella-263265.wav_36-dup"
"ETC21_duplicated_master.wav",140,28.6809750566893,28.7284126984127,1.3965,10.5105,"Oreotrochilus-estella-263265.wav_73-dup"
"ETC21_duplicated_master.wav",141,28.8284126984127,28.9512244897959,1.225,8.0646,"Metallura-theresiae-46827.wav_15-dup"
"ETC21_duplicated_master.wav",142,29.0512244897959,29.1221541950113,2.7151,14.5629,"Glaucis-hirsutus-16811.wav_13-dup"
"ETC21_duplicated_master.wav",143,29.2221541950113,29.2422448979592,1.1768,6.8751,"Sappho-sparganurus-263264.wav_29-dup"
"ETC21_duplicated_master.wav",144,29.3422448979592,29.4103628117914,1.5863,9.6766,"Oreotrochilus-estella-263265.wav_35"
"ETC21_duplicated_master.wav",145,29.5103628117914,29.5515873015873,6.1807,9.5216,"Phaethornis-malaris-61375.wav_14-dup"
"ETC21_duplicated_master.wav",146,29.6515873015873,29.8719727891156,5.8238,6.9483,"Phaethornis-squalidus-85295.wav_46"
"ETC21_duplicated_master.wav",147,29.9719727891156,30.0503854875283,5.1556,11.6444,"Androdon-aequatorialis-BLB24599.wav_3-dup"
"ETC21_duplicated_master.wav",148,30.1503854875283,30.1813832199546,1.9271,11.7631,"Campylopterus-villaviscensio-111082.wav_21"
"ETC21_duplicated_master.wav",149,30.2813832199546,30.3477777777778,1.9829,8.6455,"Oreotrochilus-estella-263265.wav_36"
"ETC21_duplicated_master.wav",150,30.4477777777778,30.4712925170068,1.575,21.735,"Lepidopyga-lilliae-ML167379.wav_39-dup"
"ETC21_duplicated_master.wav",151,30.5712925170068,30.7616780045351,5.9661,9.3107,"Phaethornis-aethopygus-149950.wav_76-dup"
"ETC21_duplicated_master.wav",152,30.8616780045351,30.8920408163265,4.2265,6.5809,"Phaethornis-bourcieri-47431.wav_24"
"ETC21_duplicated_master.wav",153,30.9920408163265,31.0530385487528,6.631,9.0769,"Phaethornis-longuemareus-ML6174.wav_23-dup"
"ETC21_duplicated_master.wav",154,31.1530385487528,31.2499092970522,5.3333,11.9111,"Androdon-aequatorialis-BLB24599.wav_5"
"ETC21_duplicated_master.wav",155,31.3499092970522,31.4291383219955,0.8619,6.9986,"Phaethornis-squalidus-85295.wav_50-dup"
"ETC21_duplicated_master.wav",156,31.5291383219955,31.6678911564626,2.5354,13.3683,"Metallura-eupogon-62896.wav_13"
"ETC21_duplicated_master.wav",157,31.7678911564626,31.8808390022676,5.731,7.7537,"Oxypogon-stubelii-101708.wav_4-dup"
"ETC21_duplicated_master.wav",158,31.9808390022676,32.0222222222222,1.4012,7.2271,"Oreotrochilus-estella-263265.wav_98-dup"
"ETC21_duplicated_master.wav",159,32.1222222222222,32.2462131519274,0,22.05,"Ramphodon-naevius-85396.wav_34"
"ETC21_duplicated_master.wav",160,32.3462131519274,32.3669160997732,1.9911,11.8731,"Oreotrochilus-estella-263265.wav_94"
"ETC21_duplicated_master.wav",161,32.4669160997732,32.5192517006803,1.982,8.4855,"Sappho-sparganurus-263264.wav_46"
"ETC21_duplicated_master.wav",162,32.6192517006803,32.6483900226757,1.8667,8.6222,"Oreotrochilus-melanogaster-41148.wav_1-dup"
"ETC21_duplicated_master.wav",163,32.7483900226757,32.777052154195,1.4657,14.306,"Heliodoxa-schreibersii-ML84904851.wav_66"
"ETC21_duplicated_master.wav",164,32.877052154195,33.1004081632653,1.96,16.52,"Lepidopyga-goudoti-175790.wav_10-dup"
"ETC21_duplicated_master.wav",165,33.2004081632653,33.2780045351474,1.8783,6.37,"Oreotrochilus-estella-263265.wav_12-dup"
"ETC21_duplicated_master.wav",166,33.3780045351474,33.4667120181406,1.9202,5.6069,"Oreotrochilus-adela-146833.wav_61-dup"
"ETC21_duplicated_master.wav",167,33.5667120181406,33.5998639455782,1.9911,11.7911,"Campylopterus-villaviscensio-111082.wav_31-dup"
"ETC21_duplicated_master.wav",168,33.6998639455782,33.7287301587302,2.4675,11.4388,"Campylopterus-villaviscensio-111082.wav_27-dup"
"ETC21_duplicated_master.wav",169,33.8287301587302,33.8922902494331,3.0545,7.8042,"Phaethornis-squalidus-85295.wav_48-dup"
"ETC21_duplicated_master.wav",170,33.9922902494331,34.0759410430839,4.7829,8.3701,"Anthracothorax-veraguensis-124528.wav_4"
"ETC21_duplicated_master.wav",171,34.1759410430839,34.2005215419501,1.819,11.4388,"Campylopterus-villaviscensio-111082.wav_26"
"ETC21_duplicated_master.wav",172,34.3005215419501,34.3548979591837,1.0656,13.689,"Chalcostigma-stanleyi-122361.wav_4"
"ETC21_duplicated_master.wav",173,34.4548979591837,34.4762585034014,1.4593,6.6822,"Oreotrochilus-adela-146833.wav_47"
"ETC21_duplicated_master.wav",174,34.5762585034014,34.7940136054422,2.4156,8.3617,"Sappho-sparganurus-263264.wav_24-dup"
"ETC21_duplicated_master.wav",175,34.8940136054422,34.9196145124717,1.6,7.7333,"Oreotrochilus-melanogaster-41148.wav_64"
"ETC21_duplicated_master.wav",176,35.0196145124717,35.0780272108844,2.6356,5.3403,"Patagona-gigas-313795.wav_2-dup"
"ETC21_duplicated_master.wav",177,35.1780272108844,35.2013151927438,1.4012,12.6105,"Oreotrochilus-estella-263265.wav_47-dup"
"ETC21_duplicated_master.wav",178,35.3013151927438,35.6370294784581,3.3641,10.1586,"Coeligena-wilsoni-264477.wav_6"
"ETC21_duplicated_master.wav",179,35.737029478458,35.7955555555556,1.6897,5.6453,"Oreotrochilus-adela-146833.wav_36"
"ETC21_duplicated_master.wav",180,35.8955555555556,35.9550566893424,2.058,8.1585,"Oreotrochilus-estella-263265.wav_6"
"ETC21_duplicated_master.wav",181,36.0550566893424,36.0792063492063,1.9174,10.5457,"Oreotrochilus-estella-263265.wav_50"
"ETC21_duplicated_master.wav",182,36.1792063492063,36.1957142857143,1.4209,7.143,"Oreotrochilus-adela-146833.wav_45"
"ETC21_duplicated_master.wav",183,36.2957142857143,36.3207256235828,1.7699,6.6371,"Oreotrochilus-estella-263265.wav_55-dup"
"ETC21_duplicated_master.wav",184,36.4207256235828,36.4516553287982,2.0894,9.6186,"Doryfera-johannae-98229.wav_84-dup"
"ETC21_duplicated_master.wav",185,36.5516553287982,36.7921995464853,1.33,16.73,"Lepidopyga-goudoti-175790.wav_16"
"ETC21_duplicated_master.wav",186,36.8921995464853,36.9317233560091,2.3583,9.4842,"Doryfera-johannae-98229.wav_70-dup"
"ETC21_duplicated_master.wav",187,37.0317233560091,37.0528571428571,0.6813,7.061,"Sappho-sparganurus-263264.wav_28"
"ETC21_duplicated_master.wav",188,37.1528571428571,37.2037414965986,2.0417,10.1267,"Oreotrochilus-estella-263265.wav_13-dup"
"ETC21_duplicated_master.wav",189,37.3037414965986,37.3907709750567,1.6897,5.6837,"Oreotrochilus-adela-146833.wav_59"
"ETC21_duplicated_master.wav",190,37.4907709750567,37.5185714285714,1.7109,11.7631,"Campylopterus-villaviscensio-111082.wav_18-dup"
"ETC21_duplicated_master.wav",191,37.6185714285714,37.6720408163265,1.176,10.8045,"Oreotrochilus-estella-263265.wav_72-dup"
"ETC21_duplicated_master.wav",192,37.7720408163265,37.7977097505669,2.2513,11.655,"Campylopterus-villaviscensio-111082.wav_23-dup"
"ETC21_duplicated_master.wav",193,37.8977097505669,38.0007936507937,5.6659,10.4971,"Threnetes-leucurus-77603.wav_13"
"ETC21_duplicated_master.wav",194,38.1007936507936,38.1239455782313,3.3577,12.8808,"Myrtis-fanny-260481.wav_3"
"ETC21_duplicated_master.wav",195,38.2239455782313,38.261746031746,1.686,10.1564,"Doryfera-johannae-98229.wav_82-dup"
